,predict_month,tc_id,tc_name,carton_num,predict_type,weight,volume
1,2017-02-01,754,,2500,TC正向,21190.7669021,28.8358179905
2,2017-03-01,754,,3684,TC正向,30008.3647918,47.705066791
3,2017-04-01,754,,2378,TC正向,19536.2792191,32.2998967443
4,2017-05-01,754,,10562,TC正向,58794.7818266,129.280179718
5,2017-06-01,754,,499,TC正向,4160.40971893,5.5372762827
6,2017-07-01,754,,920,TC正向,4678.98732937,11.1035306601
7,2017-08-01,754,,1757,TC正向,11475.3112706,20.9217155673
8,2017-09-01,754,,798,TC正向,4918.0006647,12.0898467586
9,2017-10-01,754,,3832,TC正向,32481.2075076,48.9461997862
10,2017-11-01,754,,2769,TC正向,19279.2058114,41.6067309442
11,2017-12-01,754,,2285,TC正向,15840.4101443,27.8126464239
0,2017-01-01,755,,32590,TC正向,425627.00693,960.167755849
1,2017-02-01,755,,37387,TC正向,242955.021564,1185.24906914
2,2017-03-01,755,,41096,TC正向,712287.194803,1279.64147266
3,2017-04-01,755,,50965,TC正向,589807.663884,1521.2577086
4,2017-05-01,755,,59888,TC正向,880798.247343,1761.42048549
5,2017-06-01,755,,86283,TC正向,696108.291697,2648.31321029
6,2017-07-01,755,,75360,TC正向,1090469.5816,2105.28405877
7,2017-08-01,755,,87919,TC正向,1181667.4672,2495.22208618
8,2017-09-01,755,,94812,TC正向,616124.629003,2938.19081553
9,2017-10-01,755,,106471,TC正向,1168401.29672,3134.64538091
10,2017-11-01,755,,101544,TC正向,659871.739099,2818.78920105
11,2017-12-01,755,,122155,TC正向,793809.89807,3191.4499983
0,2017-01-01,756,,21383,TC正向,213750.127164,744.101029449
1,2017-02-01,756,,23058,TC正向,146731.065025,832.552598608
2,2017-03-01,756,,22122,TC正向,140774.768865,729.039570778
3,2017-04-01,756,,27566,TC正向,357852.904274,1300.79520963
4,2017-05-01,756,,37594,TC正向,394274.230479,1311.51680833
5,2017-06-01,756,,37261,TC正向,377843.710393,883.064003982
6,2017-07-01,756,,35601,TC正向,422419.282733,1051.73678708
7,2017-08-01,756,,37918,TC正向,272143.963849,1096.74004159
8,2017-09-01,756,,42704,TC正向,471612.324205,1132.14248538
9,2017-10-01,756,,51848,TC正向,505622.155399,1629.48120442
10,2017-11-01,756,,43278,TC正向,306221.657466,1620.72714031
11,2017-12-01,756,,52127,TC正向,331713.5149,1555.73750698
