,pred_type,ID,ds,numbox,weight,bulk
196,zhongzhuang,50,2015-7-23,1518,13070.26,63.200099
197,zhongzhuang,50,2015-7-24,2781,23040.28,163.3205
198,zhongzhuang,50,2015-7-25,3931,45804.4,213.6967
199,zhongzhuang,50,2015-7-26,3764,30088.08,194.497296
200,zhongzhuang,50,2015-7-27,5285,45984.409,224.832199
201,zhongzhuang,50,2015-7-28,575,4816.06,22.9242
202,zhongzhuang,50,2015-7-29,298,2437.265,13.121999
203,zhongzhuang,50,2015-7-30,3160,32853.72,172.573699
204,zhongzhuang,50,2015-7-31,4038,32517.5,237.060098
205,zhongzhuang,50,2015-8-1,2068,18226.27,142.338398
206,zhongzhuang,50,2015-8-2,6807,50990.76,389.100095
207,zhongzhuang,50,2015-8-3,1450,12745.97,79.3628
208,zhongzhuang,50,2015-8-4,2936,23299.49,133.3958
209,zhongzhuang,50,2015-8-5,430,4596,33.5861
210,zhongzhuang,50,2015-8-6,2706,23584.04,156.209697
211,zhongzhuang,50,2015-8-7,2560,24149.95,167.225997
212,zhongzhuang,50,2015-8-8,3132,26843.92,177.866
213,zhongzhuang,50,2015-8-9,5992,41519.41,241.999898
214,zhongzhuang,50,2015-8-10,4819,44243.86,230.909697
215,zhongzhuang,50,2015-8-11,341,1649.52,10.1714
216,zhongzhuang,50,2015-8-12,1270,16408.1,98.837698
217,zhongzhuang,50,2015-8-13,2979,31900.52,170.217299
218,zhongzhuang,50,2015-8-14,1749,15384.74,113.2546
219,zhongzhuang,50,2015-8-15,3745,31838.2,177.858199
220,zhongzhuang,50,2015-8-16,8339,62753.89,412.149092
221,zhongzhuang,50,2015-8-17,3327,37494.5,182.8142
222,zhongzhuang,50,2015-8-18,2300,31565.65,133.440199
223,zhongzhuang,50,2015-8-19,3119,31766.98,120.178998
224,zhongzhuang,50,2015-8-20,3479,32371.86,255.485797
225,zhongzhuang,50,2015-8-21,3939,31290.36,203.785798
226,zhongzhuang,50,2015-8-22,1304,15888,108.563799
227,zhongzhuang,50,2015-8-23,4784,37525.26,175.706098
228,zhongzhuang,50,2015-8-24,1468,15220.01,84.5107
229,zhongzhuang,50,2015-8-25,3838,35265.18,227.786297
230,zhongzhuang,50,2015-8-26,2039,16176.869,116.777798
231,zhongzhuang,50,2015-8-27,814,6815.1,30.3541
232,zhongzhuang,50,2015-8-28,3200,25662.8,145.103597
233,zhongzhuang,50,2015-8-29,4543,35908.16,221.100297
234,zhongzhuang,50,2015-8-30,3971,26270.72,187.596399
235,zhongzhuang,50,2015-8-31,1330,10584.5,86.0851
236,zhongzhuang,50,2015-9-1,640,7383.26,35.858199
237,zhongzhuang,50,2015-9-2,895,7162.24,64.9252
238,zhongzhuang,50,2015-9-4,3021,28790.34,194.385099
239,zhongzhuang,50,2015-9-5,1634,17009.7,94.663399
240,zhongzhuang,50,2015-9-6,2258,21112.92,138.2425
241,zhongzhuang,50,2015-9-7,1038,9962.599,38.077399
242,zhongzhuang,50,2015-9-8,1558,14117,78.018
243,zhongzhuang,50,2015-9-9,918,11070.95,64.715499
244,zhongzhuang,50,2015-9-10,4248,46090.29,242.016199
245,zhongzhuang,50,2015-9-11,733,7978,76.622799
246,zhongzhuang,50,2015-9-12,4917,46124.3,271.045697
247,zhongzhuang,50,2015-9-13,5553,49538.85,270.881297
248,zhongzhuang,50,2015-9-14,5946,64834.859,305.616596
249,zhongzhuang,50,2015-9-15,2117,18564.24,131.1871
250,zhongzhuang,50,2015-9-16,2037,19043.47,102.187199
251,zhongzhuang,50,2015-9-17,950,7271.9,40.7557
252,zhongzhuang,50,2015-9-18,4474,36953.94,203.351795
253,zhongzhuang,50,2015-9-19,3988,37482.2,198.761095
254,zhongzhuang,50,2015-9-20,3800,31662.1,192.4737
255,zhongzhuang,50,2015-9-21,4702,51184.54,274.578089
256,zhongzhuang,50,2015-9-22,1022,8214.3,41.451599
257,zhongzhuang,50,2015-9-23,5657,40768.871,260.645098
258,zhongzhuang,50,2015-9-24,5999,58809.564,384.073396
259,zhongzhuang,50,2015-9-25,3785,21717.842,200.212699
260,zhongzhuang,50,2015-9-26,2270,18277.68,92.4167
261,zhongzhuang,50,2015-9-27,8284,67981.75,360.724497
262,zhongzhuang,50,2015-9-28,6286,59014.76,369.263293
263,zhongzhuang,50,2015-9-29,1575,12914.02,72.731698
264,zhongzhuang,50,2015-9-30,3714,35960.71,214.568698
265,zhongzhuang,50,2015-10-1,5639,53092.17,290.940899
266,zhongzhuang,50,2015-10-2,5066,39580.1,336.930799
267,zhongzhuang,50,2015-10-3,872,10569,89.6568
268,zhongzhuang,50,2015-10-4,222,1667,10.5065
269,zhongzhuang,50,2015-10-5,507,21141.525,140.0812
270,zhongzhuang,50,2015-10-6,194,1123.8,13.0052
271,zhongzhuang,50,2015-10-7,210,842.5,7.3039
272,zhongzhuang,50,2015-10-8,517,4731,28.7089
273,zhongzhuang,50,2015-10-9,144,687.5,6.1535
274,zhongzhuang,50,2015-10-10,2810,15656.7,137.8031
275,zhongzhuang,50,2015-10-11,3336,18328.922,123.676096
276,zhongzhuang,50,2015-10-12,5171,50421.205,274.918297
277,zhongzhuang,50,2015-10-13,4366,36215.506,209.752398
278,zhongzhuang,50,2015-10-14,7324,41539.2,214.136196
279,zhongzhuang,50,2015-10-15,3880,39120.428,224.970596
280,zhongzhuang,50,2015-10-16,4627,53646.1,223.5755
281,zhongzhuang,50,2015-10-17,7378,60389.06,334.634696
282,zhongzhuang,50,2015-10-18,8000,62549.1,345.502498
283,zhongzhuang,50,2015-10-19,8267,71261.241,372.823498
284,zhongzhuang,50,2015-10-20,6713,50571.012,316.807899
285,zhongzhuang,50,2015-10-21,4323,32710.81,210.798698
286,zhongzhuang,50,2015-10-22,4755,45569.75,287.968696
287,zhongzhuang,50,2015-10-23,2209,30080.2,163.855699
288,zhongzhuang,50,2015-10-24,4208,52950,215.843799
289,zhongzhuang,50,2015-10-25,3621,36494.161,279.4301
290,zhongzhuang,50,2015-10-26,7193,56371.301,311.969599
291,zhongzhuang,50,2015-10-27,2811,27646.5,201.329599
292,zhongzhuang,50,2015-10-28,6777,72189.5,351.345198
293,zhongzhuang,50,2015-10-29,3735,33976.008,207.5321
294,zhongzhuang,50,2015-10-30,5244,48819.833,287.969897
295,zhongzhuang,50,2015-10-31,5210,33938.19,268.352996
296,zhongzhuang,50,2015-11-1,9041,75990.093,531.202199
297,zhongzhuang,50,2015-11-2,1173,7827.601,65.971399
298,zhongzhuang,50,2015-11-3,8240,64488.812,321.686793
299,zhongzhuang,50,2015-11-4,5457,45450.472,243.147297
300,zhongzhuang,50,2015-11-5,4747,37342.15,217.106398
301,zhongzhuang,50,2015-11-6,4867,42841.52,267.090298
302,zhongzhuang,50,2015-11-7,5044,39317.74,171.192496
303,zhongzhuang,50,2015-11-8,4876,43365.56,283.854195
304,zhongzhuang,50,2015-11-9,5516,53132.519,296.925193
305,zhongzhuang,50,2015-11-10,2700,25058.5,151.755698
306,zhongzhuang,50,2015-11-11,4129,35662.4,217.236599
307,zhongzhuang,50,2015-11-12,2489,21807.5,130.846
308,zhongzhuang,50,2015-11-13,685,5625.8,38.0152
309,zhongzhuang,50,2015-11-14,2269,22885,122.369898
310,zhongzhuang,50,2015-11-15,2718,26210.9,146.240797
311,zhongzhuang,50,2015-11-16,1272,6083.5,46.496497
312,zhongzhuang,50,2015-11-17,712,5274.5,31.839798
313,zhongzhuang,50,2015-11-18,2354,22029.43,114.186095
314,zhongzhuang,50,2015-11-19,1661,13270.03,86.894594
315,zhongzhuang,50,2015-11-20,4161,32702.002,256.973695
316,zhongzhuang,50,2015-11-21,2195,22117.8,118.199397
317,zhongzhuang,50,2015-11-22,5452,52208.2,245.797792
318,zhongzhuang,50,2015-11-23,4481,41605.3,252.577497
319,zhongzhuang,50,2015-11-24,3119,32811.93,159.370197
320,zhongzhuang,50,2015-11-25,1553,15026.802,115.111499
