,pred_type,ID,ds,numbox,weight,bulk
174,zhongzhuang,50,2015-07-01,1282,9520.879,72.331599
175,zhongzhuang,50,2015-07-02,1516,12194.3,87.569198
176,zhongzhuang,50,2015-07-03,1989,12833.31,109.4944
177,zhongzhuang,50,2015-07-04,3733,39008.039,188.365
178,zhongzhuang,50,2015-07-05,5284,59232.61,277.391096
179,zhongzhuang,50,2015-07-06,1843,22014.5,91.7072
180,zhongzhuang,50,2015-07-07,528,2754.44,20.5792
181,zhongzhuang,50,2015-07-08,1610,17304.68,65.267597
182,zhongzhuang,50,2015-07-09,724,6687.64,40.808197
183,zhongzhuang,50,2015-07-10,4058,36539.68,172.080298
184,zhongzhuang,50,2015-07-11,2605,32663.86,132.203999
185,zhongzhuang,50,2015-07-12,2595,23450.5,124.59
186,zhongzhuang,50,2015-07-13,6437,43007.84,579.606799
187,zhongzhuang,50,2015-07-14,606,7145.41,32.5401
188,zhongzhuang,50,2015-07-15,1078,11253.72,56.685599
189,zhongzhuang,50,2015-07-16,649,7548.37,18.5201
190,zhongzhuang,50,2015-07-17,4211,43222.64,225.711398
191,zhongzhuang,50,2015-07-18,3822,40352.35,199.403597
192,zhongzhuang,50,2015-07-19,3499,35800.0,163.193998
193,zhongzhuang,50,2015-07-20,3688,25679.46,179.720798
194,zhongzhuang,50,2015-07-21,832,4975.18,45.7322
195,zhongzhuang,50,2015-07-22,838,9111.6,60.4863
196,zhongzhuang,50,2015-07-23,1518,13070.26,63.200099
197,zhongzhuang,50,2015-07-24,2781,23040.28,163.3205
198,zhongzhuang,50,2015-07-25,3931,45804.4,213.6967
199,zhongzhuang,50,2015-07-26,3764,30088.08,194.497296
200,zhongzhuang,50,2015-07-27,5285,45984.409,224.832199
201,zhongzhuang,50,2015-07-28,575,4816.06,22.9242
202,zhongzhuang,50,2015-07-29,298,2437.265,13.121999
203,zhongzhuang,50,2015-07-30,3160,32853.72,172.573699
204,zhongzhuang,50,2015-07-31,4038,32517.5,237.060098
205,zhongzhuang,50,2015-08-01,2068,18226.27,142.338398
206,zhongzhuang,50,2015-08-02,6807,50990.76,389.100095
207,zhongzhuang,50,2015-08-03,1450,12745.97,79.3628
208,zhongzhuang,50,2015-08-04,2936,23299.49,133.3958
209,zhongzhuang,50,2015-08-05,430,4596.0,33.5861
210,zhongzhuang,50,2015-08-06,2706,23584.04,156.209697
211,zhongzhuang,50,2015-08-07,2560,24149.95,167.225997
212,zhongzhuang,50,2015-08-08,3132,26843.92,177.866
213,zhongzhuang,50,2015-08-09,5992,41519.41,241.999898
214,zhongzhuang,50,2015-08-10,4819,44243.86,230.909697
215,zhongzhuang,50,2015-08-11,341,1649.52,10.1714
