,pred_type,id,name,ds,numbox,weight,bulk
285,zhongzhuang,355,,2016-06,112815,915230.242,4695.462701
286,zhongzhuang,355,,2016-07,94116,770777.537,3726.641182
287,zhongzhuang,355,,2016-08,165723,1427043.659,7092.814748
288,zhongzhuang,355,,2016-09,182295,1526923.666,7749.937867
289,zhongzhuang,355,,2016-10,312425,2535547.726,13948.767205
290,zhongzhuang,355,,2016-11,193118,1610007.984,9150.251751
291,zhongzhuang,355,,2016-12,165957,1358847.3,7150.518564
292,zhongzhuang,355,,2017-01,241,2117.9,15.495499
293,zhongzhuang,355,,2017-02,370,2876.9,18.5625
294,zhongzhuang,355,,2017-03,706,5397.06,32.3396
295,zhongzhuang,379,,2016-04,505,3005.2,19.025199
296,zhongzhuang,379,,2016-05,160,1311.6,8.691999
297,zhongzhuang,379,,2016-06,585,3919.552,26.896599
298,zhongzhuang,379,,2016-07,1410,14775.58,90.333197
299,zhongzhuang,379,,2016-08,376,4899.458,18.857599
300,zhongzhuang,379,,2016-09,700,5541.96,60.348899
301,zhongzhuang,379,,2016-10,379,3148.705,20.499099
302,zhongzhuang,379,,2016-11,192,2634.364,16.5398
303,zhongzhuang,379,,2016-12,4187,41418.72,166.0836
304,zhongzhuang,379,,2017-01,1008,12641.15,57.827498
305,zhongzhuang,379,,2017-02,956,11228.95,59.051498
306,zhongzhuang,379,,2017-03,7189,47406.869,273.980696
307,zhongzhuang,379,,2017-04,1094,7619.983,57.146398
308,zhongzhuang,379,,2017-05,166567,1377947.25,6484.953726
309,zhongzhuang,379,,2017-06,177500,1435714.654,6495.106584
310,zhongzhuang,379,,2017-07,118094,915298.905,4056.350142
311,zhongzhuang,379,,2017-08,123666,979222.574,5414.035932
312,zhongzhuang,379,,2017-09,35644,385833.382,1898.754464
313,zhongzhuang,388,,2016-04,398,3448.3,13.2692
314,zhongzhuang,388,,2016-05,137,947.958,6.329499
315,zhongzhuang,388,,2016-06,86,924.2,4.9179
316,zhongzhuang,388,,2016-07,616,6874.25,33.4032
317,zhongzhuang,388,,2016-08,98,753.74,4.0908
318,zhongzhuang,388,,2016-09,645,2225.445,19.5284
319,zhongzhuang,388,,2016-10,203,1183.96,9.056899
320,zhongzhuang,388,,2016-11,276,2065.356,9.314598
321,zhongzhuang,388,,2016-12,311,3239.99,30.599297
322,zhongzhuang,388,,2017-01,158,1545.82,13.087599
323,zhongzhuang,388,,2017-02,394,3004.3,13.816298
324,zhongzhuang,388,,2017-03,274,1680.656,8.760699
325,zhongzhuang,388,,2017-04,823,5012.84,33.511598
326,zhongzhuang,388,,2017-05,672,3747.535,32.7892
327,zhongzhuang,388,,2017-06,266,1545.429,13.467499
328,zhongzhuang,388,,2017-07,1160,9152.476,83.200598
329,zhongzhuang,388,,2017-08,647,5726.83,56.765197
330,zhongzhuang,388,,2017-09,149,2172.242,32.302299
331,zhongzhuang,389,,2016-04,15,94.5,0.4566
332,zhongzhuang,389,,2016-05,9,54.0,0.363599
333,zhongzhuang,389,,2016-06,4,9.6,0.078
334,zhongzhuang,389,,2016-07,8,22.0,0.2228
335,zhongzhuang,389,,2016-08,10,84.8,0.4083
336,zhongzhuang,389,,2016-09,46,241.0,2.0995
337,zhongzhuang,389,,2016-10,682,4980.86,34.2706
338,zhongzhuang,389,,2016-11,9,58.0,0.3285
339,zhongzhuang,389,,2016-12,8,44.0,0.2774
340,zhongzhuang,389,,2017-01,4,37.0,0.2386
341,zhongzhuang,389,,2017-04,20,142.08,0.9583
342,zhongzhuang,389,,2017-05,51,546.659,3.417499
343,zhongzhuang,389,,2017-06,32,344.42,2.0688
344,zhongzhuang,389,,2017-07,102,550.5,4.0179
345,zhongzhuang,389,,2017-08,65,399.24,3.4577
346,zhongzhuang,389,,2017-09,54,393.26,3.4734
347,zhongzhuang,390,,2016-03,10,154.5,0.306
348,zhongzhuang,390,,2016-04,46,546.0,2.1685
349,zhongzhuang,390,,2016-05,137,1750.54,11.2064
350,zhongzhuang,390,,2016-06,16,135.5,0.6373
351,zhongzhuang,390,,2016-07,91,716.19,4.531899
352,zhongzhuang,390,,2016-08,8,36.12,0.4029
353,zhongzhuang,390,,2016-09,30,240.0,1.7244
354,zhongzhuang,390,,2016-10,2,1.5,0.0194
355,zhongzhuang,390,,2016-11,20,72.8,0.4641
356,zhongzhuang,390,,2016-12,86,704.46,4.973
357,zhongzhuang,390,,2017-01,21,167.6,1.4574
358,zhongzhuang,390,,2017-02,15,125.4,0.709499
359,zhongzhuang,390,,2017-03,94,618.5,4.484799
360,zhongzhuang,390,,2017-04,203,2692.5,10.8149
361,zhongzhuang,390,,2017-05,71,703.36,1.4162
362,zhongzhuang,390,,2017-06,7,50.0,0.3561
363,zhongzhuang,390,,2017-07,37,481.549,0.9816
364,zhongzhuang,390,,2017-08,23,198.5,1.2452
365,zhongzhuang,390,,2017-09,79,939.5,4.3104
366,zhongzhuang,391,,2016-04,3,39.1,0.2019
367,zhongzhuang,391,,2016-05,119,1559.4,7.1337
368,zhongzhuang,391,,2016-06,12,36.8,0.339099
369,zhongzhuang,391,,2016-07,97,978.68,8.6226
370,zhongzhuang,391,,2016-08,42,244.0,1.9212
371,zhongzhuang,391,,2016-09,7,72.96,1.2699
372,zhongzhuang,391,,2016-10,233,2074.6,13.595399
373,zhongzhuang,391,,2016-11,325,2352.0,22.2727
374,zhongzhuang,391,,2016-12,195,1591.22,22.1626
375,zhongzhuang,391,,2017-01,88,420.0,4.5553
376,zhongzhuang,391,,2017-02,114,686.47,4.915898
377,zhongzhuang,391,,2017-03,154,1222.25,6.019798
378,zhongzhuang,391,,2017-04,1136,8117.608,36.579599
379,zhongzhuang,391,,2017-05,243,1472.245,10.3029
380,zhongzhuang,391,,2017-06,2694,19964.145,67.8662
381,zhongzhuang,391,,2017-07,3288,12123.56,92.256296
382,zhongzhuang,391,,2017-08,2348,28674.33,91.093098
383,zhongzhuang,391,,2017-09,1049,5863.23,28.158199
384,zhongzhuang,392,,2016-02,7,29.0,0.1894
385,zhongzhuang,392,,2016-03,55,478.3,2.9362
386,zhongzhuang,392,,2016-04,24,210.7,1.277
387,zhongzhuang,392,,2016-05,208,1916.3,6.144399
388,zhongzhuang,392,,2016-06,70,891.7,8.320099
389,zhongzhuang,392,,2016-07,184,1299.536,6.441499
390,zhongzhuang,392,,2016-08,253,2808.3,10.260699
391,zhongzhuang,392,,2016-09,70,656.221,5.351699
392,zhongzhuang,392,,2016-10,82,644.767,3.685899
