,pre_type,id,name,ds,numbox,weight,bulk
474,forward,631,,2017-02,2594,12792.0,34.3882
475,forward,631,,2017-03,72,432.0,2.592
476,forward,631,,2017-04,4429,21614.5,61.1442
477,forward,631,,2017-05,5743,38095.5,185.9855
478,forward,631,,2017-06,4658,25180.1,94.863958
479,forward,631,,2017-07,5087,26887.86,89.792962
480,forward,631,,2017-08,8134,71076.64,236.937255
481,forward,631,,2017-09,3578,20202.6,73.743038
482,forward,754,,2016-05,11428,58121.16,111.4504
483,forward,754,,2016-06,991,8400.02,11.1681
484,forward,754,,2016-07,1559,12911.42,20.839
485,forward,754,,2016-08,2088,15766.12,31.633584
486,forward,754,,2016-09,1319,7706.321,14.9034
487,forward,754,,2016-10,4249,24600.16,46.30222
488,forward,754,,2016-11,3462,20304.06,45.5021
489,forward,754,,2016-12,11036,80503.06,138.2514
490,forward,754,,2017-01,123,1850.6,4.3987
491,forward,754,,2017-02,2129,16681.38,34.0849
492,forward,754,,2017-03,5919,42992.71,94.714098
493,forward,754,,2017-04,7646,42341.15,85.1171
494,forward,754,,2017-05,16572,102041.01,211.496099
495,forward,754,,2017-06,1834,16176.21,50.842
496,forward,754,,2017-07,10279,61352.99,133.1212
497,forward,754,,2017-08,24498,162956.993,350.270599
498,forward,754,,2017-09,7941,57003.62,105.219999
499,forward,755,,2016-06,2339,20330.578,66.094301
500,forward,755,,2016-08,3239,66521.34,97.5344
501,forward,755,,2016-09,10921,96525.326,341.9224
502,forward,755,,2016-10,22800,195193.619,722.8095
503,forward,755,,2016-11,18511,120291.556,483.6227
504,forward,755,,2016-12,24357,190400.654,732.2565
505,forward,755,,2017-01,22369,178739.61,718.7299
506,forward,755,,2017-02,10735,90866.461,315.789597
507,forward,755,,2017-03,18918,155389.65,565.0555
508,forward,755,,2017-04,19715,156359.463,611.7268
509,forward,755,,2017-05,35375,240970.995,873.486
510,forward,755,,2017-06,24301,168997.903,662.0917
511,forward,755,,2017-07,24003,166126.081,630.133453
512,forward,755,,2017-08,41723,296611.54,1095.527344
513,forward,755,,2017-09,22535,156270.326,560.338131
514,forward,756,,2016-06,1766,28652.7,83.3347
515,forward,756,,2016-07,53,568.0,1.6362
516,forward,756,,2016-08,1652,14912.0,55.529199
517,forward,756,,2016-09,7188,45741.3,160.290598
518,forward,756,,2016-10,16285,122998.021,431.2205
519,forward,756,,2016-11,7345,72534.318,228.9078
520,forward,756,,2016-12,10686,89064.38,297.0611
521,forward,756,,2017-01,10677,92473.306,327.6963
